ID,question_type,question,context,GPT 4o,GPT 4,Claude Opus 3,Sonnet,best_answer
EIS01210,divergent,In what ways could future technologies or policies alter the assessment of air quality impacts associated with the transportation of secondary waste?,"3.3.1 Air Quality
The Proposed Action would not involve the construction or operation of any facilities that have not been evaluated previously under NEPA or existing facilities that have not been licensed and permitted for air emissions by the applicable state regulatory agency. Therefore, the Proposed Action would not involve any new sources of facility air emissions at the Hanford Site, the offsite commercial treatment facilities, or any commercial disposal facilities. As identified in Section 2.1 of this SA, the TC&WM EIS assumed (under all alternatives) that the three onsite waste management locations (Central Waste Complex, Waste Receiving and Processing, and T-plant) were all expanded to provide a conservative evaluation of potential impacts since it was uncertain which facility would ultimately house the capability to treat and store all secondary waste. The potential emissions of criteria and toxic air pollutants associated with the construction, operation, and deactivation of these possible expansions are presented in Tables G-47 and G-48 in Appendix G of the TC&WM EIS. Greenhouse gases (GHG) are discussed in Section G.5 of the TC&WM EIS. The estimated emissions of carbon dioxide for Waste Management Alternative 2, which includes the expansion of these facilities, is presented in Table G-167 of the TC&WM EIS.
The transportation of secondary waste by truck to offsite treatment facilities and from the treatment facilities to a disposal site would generate vehicle emission pollutants, including GHG. Potential air quality emissions were evaluated in the TC&WM EIS (Appendix G) for each alternative for the construction, operation, deactivation, and closure project phases.22 These evaluations did not include offsite transportation of waste for treatment and disposal. To estimate the relative contribution of air emissions that include offsite transportation of secondary waste for treatment and disposal, DOE compared the transportation emissions of CO, nitrogen oxides, and GHGs to similar emissions for Tank Closure Alternative 2B during operations.","Future technologies or policies could alter air quality assessment by introducing cleaner, more efficient vehicle technologies, enhancing monitoring and data collection methods, implementing stricter emission standards, and encouraging sustainable practices like route optimization and the use of alternative fuels. These changes could reduce pollutant emissions during the transportation of secondary waste.","Future technologies or policies could alter the assessment of air quality impacts associated with the transportation of secondary waste in several ways:

1. **Advanced Vehicle Technologies:** The adoption of cleaner transportation technologies, such as electric or hydrogen-fueled trucks, could significantly reduce emissions of criteria pollutants and greenhouse gases (GHGs). 

2. **Improved Emissions Controls:** Enhancements in emissions control technologies for transport vehicles, such as advanced catalysts or particulate filters, could further reduce harmful emissions during the transportation of secondary waste. 

3. **Regulatory Changes:** New policies that strengthen emissions standards for transport vehicles could drive changes in the composition of vehicular fleets or require modifications to existing fleets to meet stricter air quality objectives.

4. **Data Availability and Monitoring:** Advances in sensor technology and data analytics could improve the monitoring and real-time reporting of emissions associated with secondary waste transport, allowing for more precise assessment and management of air quality impacts.

5. **Integrated Traffic Management Systems:** Future transport policies might include more efficient routing and logistics planning, reducing idling and congestion-related emissions through coordinated transport systems or intelligent transport systems.

6. **Comprehensive Environmental Policies:** Broader environmental policies targeting overall emissions reductions, such as carbon pricing or cap-and-trade systems, could indirectly influence the operations and choices related to the transportation of secondary waste.

Each of these technologies and policies has the potential to influence how air quality impacts from the transportation of secondary waste are understood, managed, and mitigated.","Future technologies and policies could potentially reduce the air quality impacts associated with transporting secondary waste in several ways:

1. Cleaner, more fuel-efficient, or alternative fuel vehicles could be used for transport, decreasing emissions of pollutants and greenhouse gases.

2. Improved route planning and logistics could minimize total transportation miles and associated emissions. 

3. Air quality regulations and vehicle emissions standards may become more stringent over time, requiring cleaner transportation options to be used.

4. New waste treatment technologies might be developed that reduce the total volume of secondary waste requiring offsite transport in the first place.

Continued advancements and evolving regulations will likely drive reductions in transportation-related air quality impacts compared to current assessments as these potential future changes are realized.","Future advancements in transportation technologies, such as electric or hydrogen-powered vehicles, could significantly reduce emissions associated with waste transport. Additionally, improved air quality monitoring systems and predictive modeling could enhance impact assessments. New policies may introduce stricter emission standards or incentivize the use of cleaner transportation methods. Advanced waste treatment technologies could also reduce the volume of secondary waste, thereby decreasing transportation needs. Furthermore, changes in regulatory frameworks might alter how cumulative impacts are evaluated, potentially leading to more comprehensive assessments that consider broader environmental factors.",2
EIS01211,process,"How are the potential emissions of criteria and toxic air pollutants associated with the construction, operation, and deactivation of waste management locations evaluated in the TC&WM EIS?","3.3.1 Air Quality
The Proposed Action would not involve the construction or operation of any facilities that have not been evaluated previously under NEPA or existing facilities that have not been licensed and permitted for air emissions by the applicable state regulatory agency. Therefore, the Proposed Action would not involve any new sources of facility air emissions at the Hanford Site, the offsite commercial treatment facilities, or any commercial disposal facilities. As identified in Section 2.1 of this SA, the TC&WM EIS assumed (under all alternatives) that the three onsite waste management locations (Central Waste Complex, Waste Receiving and Processing, and T-plant) were all expanded to provide a conservative evaluation of potential impacts since it was uncertain which facility would ultimately house the capability to treat and store all secondary waste. The potential emissions of criteria and toxic air pollutants associated with the construction, operation, and deactivation of these possible expansions are presented in Tables G-47 and G-48 in Appendix G of the TC&WM EIS. Greenhouse gases (GHG) are discussed in Section G.5 of the TC&WM EIS. The estimated emissions of carbon dioxide for Waste Management Alternative 2, which includes the expansion of these facilities, is presented in Table G-167 of the TC&WM EIS.
The transportation of secondary waste by truck to offsite treatment facilities and from the treatment facilities to a disposal site would generate vehicle emission pollutants, including GHG. Potential air quality emissions were evaluated in the TC&WM EIS (Appendix G) for each alternative for the construction, operation, deactivation, and closure project phases.22 These evaluations did not include offsite transportation of waste for treatment and disposal. To estimate the relative contribution of air emissions that include offsite transportation of secondary waste for treatment and disposal, DOE compared the transportation emissions of CO, nitrogen oxides, and GHGs to similar emissions for Tank Closure Alternative 2B during operations.","Potential emissions of criteria and toxic air pollutants associated with the construction, operation, and deactivation of waste management locations are evaluated using conservative assumptions, simulating expansions of the waste management locations. These emissions are detailed in Tables G-47 and G-48 in Appendix G of the TC&WM EIS. The TC&WM EIS also includes estimated carbon dioxide emissions for Waste Management Alternative 2 in Table G-167 and evaluates vehicle emissions for offsite transportation by comparing them to similar operations emissions.","The potential emissions of criteria and toxic air pollutants related to the construction, operation, and deactivation of waste management locations are evaluated in the TC&WM EIS as presented in Tables G-47 and G-48, which are included in Appendix G. Additionally, the impact assessments for greenhouse gases are detailed in Section G.5, with specific emissions of carbon dioxide outlined in Table G-167 for Waste Management Alternative 2. Furthermore, these evaluations encompass various project phases for each alternative but do not consider emissions from offsite transportation of waste for treatment and disposal, except in a comparative assessment of transportation emissions relative to operations under Tank Closure Alternative 2B.","The TC&WM EIS evaluates potential emissions of criteria and toxic air pollutants associated with the construction, operation, and deactivation of waste management locations by presenting the estimated emissions for possible expansions of these facilities in Tables G-47 and G-48 of Appendix G. Greenhouse gas emissions are also discussed in Section G.5, with estimated carbon dioxide emissions for the relevant alternative presented in Table G-167.","The potential emissions of criteria and toxic air pollutants associated with waste management locations are evaluated through a comprehensive analysis in the environmental impact statement. This evaluation includes emissions from construction, operation, and deactivation phases. The assessment covers expanded facilities to provide a conservative estimate of potential impacts. Detailed emissions data for criteria pollutants, toxic air pollutants, and greenhouse gases are presented in tables within the document's appendices. The analysis also considers emissions from transportation activities related to waste management operations.",2
EIS01212,process,How was the relative contribution of air emissions including offsite transportation of secondary waste for treatment and disposal estimated?,"3.3.1 Air Quality
The Proposed Action would not involve the construction or operation of any facilities that have not been evaluated previously under NEPA or existing facilities that have not been licensed and permitted for air emissions by the applicable state regulatory agency. Therefore, the Proposed Action would not involve any new sources of facility air emissions at the Hanford Site, the offsite commercial treatment facilities, or any commercial disposal facilities. As identified in Section 2.1 of this SA, the TC&WM EIS assumed (under all alternatives) that the three onsite waste management locations (Central Waste Complex, Waste Receiving and Processing, and T-plant) were all expanded to provide a conservative evaluation of potential impacts since it was uncertain which facility would ultimately house the capability to treat and store all secondary waste. The potential emissions of criteria and toxic air pollutants associated with the construction, operation, and deactivation of these possible expansions are presented in Tables G-47 and G-48 in Appendix G of the TC&WM EIS. Greenhouse gases (GHG) are discussed in Section G.5 of the TC&WM EIS. The estimated emissions of carbon dioxide for Waste Management Alternative 2, which includes the expansion of these facilities, is presented in Table G-167 of the TC&WM EIS.
The transportation of secondary waste by truck to offsite treatment facilities and from the treatment facilities to a disposal site would generate vehicle emission pollutants, including GHG. Potential air quality emissions were evaluated in the TC&WM EIS (Appendix G) for each alternative for the construction, operation, deactivation, and closure project phases.22 These evaluations did not include offsite transportation of waste for treatment and disposal. To estimate the relative contribution of air emissions that include offsite transportation of secondary waste for treatment and disposal, DOE compared the transportation emissions of CO, nitrogen oxides, and GHGs to similar emissions for Tank Closure Alternative 2B during operations.","The relative contribution of air emissions, including offsite transportation of secondary waste for treatment and disposal, was estimated by comparing the transportation emissions of CO, nitrogen oxides, and GHGs to similar emissions for Tank Closure Alternative 2B during operations.","To estimate the relative contribution of air emissions, including offsite transportation of secondary waste for treatment and disposal, the Department of Energy (DOE) compared the emissions from the transportation of these wastes—specifically carbon monoxide, nitrogen oxides, and greenhouse gases—to the emissions from similar operations under Tank Closure Alternative 2B. This approach allowed for a relative assessment of the impact of transporting waste versus onsite operations.","The relative contribution of air emissions including offsite transportation of secondary waste for treatment and disposal was estimated by comparing the transportation emissions of carbon monoxide, nitrogen oxides, and greenhouse gases to similar emissions for Tank Closure Alternative 2B during operations.","The relative contribution of air emissions, including offsite transportation of secondary waste for treatment and disposal, was estimated by comparing transportation emissions of CO, nitrogen oxides, and greenhouse gases to similar emissions from Tank Closure Alternative 2B during operations. This comparison provided a basis to assess the additional impact of offsite waste transportation on overall air quality emissions.",4
EIS01213,recall,and deactivation of possible facility expansions at the Hanford Site?,"3.3.1 Air Quality
The Proposed Action would not involve the construction or operation of any facilities that have not been evaluated previously under NEPA or existing facilities that have not been licensed and permitted for air emissions by the applicable state regulatory agency. Therefore, the Proposed Action would not involve any new sources of facility air emissions at the Hanford Site, the offsite commercial treatment facilities, or any commercial disposal facilities. As identified in Section 2.1 of this SA, the TC&WM EIS assumed (under all alternatives) that the three onsite waste management locations (Central Waste Complex, Waste Receiving and Processing, and T-plant) were all expanded to provide a conservative evaluation of potential impacts since it was uncertain which facility would ultimately house the capability to treat and store all secondary waste. The potential emissions of criteria and toxic air pollutants associated with the construction, operation, and deactivation of these possible expansions are presented in Tables G-47 and G-48 in Appendix G of the TC&WM EIS. Greenhouse gases (GHG) are discussed in Section G.5 of the TC&WM EIS. The estimated emissions of carbon dioxide for Waste Management Alternative 2, which includes the expansion of these facilities, is presented in Table G-167 of the TC&WM EIS.
The transportation of secondary waste by truck to offsite treatment facilities and from the treatment facilities to a disposal site would generate vehicle emission pollutants, including GHG. Potential air quality emissions were evaluated in the TC&WM EIS (Appendix G) for each alternative for the construction, operation, deactivation, and closure project phases.22 These evaluations did not include offsite transportation of waste for treatment and disposal. To estimate the relative contribution of air emissions that include offsite transportation of secondary waste for treatment and disposal, DOE compared the transportation emissions of CO, nitrogen oxides, and GHGs to similar emissions for Tank Closure Alternative 2B during operations.","The potential emissions of criteria and toxic air pollutants related to the construction, operation, and deactivation of possible facility expansions at the Hanford Site are detailed and evaluated in the TC&WM EIS, specifically in Appendix G.","The deactivation of possible facility expansions at the Hanford Site will not introduce new sources of air emissions beyond what has already been assessed under the National Environmental Policy Act (NEPA) and state regulatory permits. Potential emissions from such activities have been quantitatively evaluated in the TC&WM EIS, specifically detailed in Tables G-47, G-48, and G-167, addressing criteria pollutants, toxic air pollutants, and greenhouse gases respectively.","The Proposed Action would not involve any new sources of air emissions associated with the construction, operation, or deactivation of possible facility expansions at the Hanford Site. The potential air emissions from these activities were previously evaluated in the TC&WM EIS.","The potential emissions of criteria and toxic air pollutants, as well as greenhouse gases, associated with the construction, operation, and deactivation of possible facility expansions at the Hanford Site were previously evaluated and quantified in the TC&WM EIS. This included conservative estimates for expanded waste management locations and their associated air quality impacts during different project phases.",4
EIS01214,closed,Does the transportation safety of LLW and MLLW directly depend on the external dose rates of the waste packages?,"Proper packaging is a key element in transportation safety, and the selection of appropriate packaging typically is based on the level and form of radioactivity inherent to the materials that are being shipped. LLW and MLLW must be packaged to protect workers and the public (as well as the environment) during transport due to potential radiological exposures of truck crews and the public being directly dependent upon external dose rates associated with the waste packages.24 Solid and liquid secondary LLW and MLLW to be shipped offsite for treatment and stabilization are expected to have low levels of radioactivity. This is substantiated by the following considerations: (1) the WM PEIS (from which this SA's dose-rate estimates are scaled) conservatively assumed a generically representative dose rate of 1 mrem per hour at 1 meter for all LLW and MLLW packages; (2) recent historical (2-year) measured dose-rate data for LLW and MLLW packages shipped from the Hanford Site exhibited quantities that are comparable to, but smaller than (i.e., on the order of 0.5 mrem per hour at 1 meter) the WM PEIS's general estimate of 1 mrem per hour in the vast majority (i.e., greater than 97 percent) of cases (WRPS 2022b); and (3) MicroShield calculations performed for EMF-concentrate have shown that associated shipping containers (""supertainers"") for liquid MLLW would have an expected dose rate of approximately 0.63 mrem per hour at 2 meters and approximately 9 mrem per hour on contact (WRPS 2022c). Although such a case (0.63 mrem per hour at 2 meters and 9 mrem per hour on contact) would be expected to yield an equivalent dose rate of approximately 2.5 mrem per hour at 1 meter, this value would still result in conditionsfar below allowable USDOT 49 CFR Part 173 limitsfor radiological shipping packages. It is furthermore noteworthy to emphasize that since these Group 3 supertainer shipments would only account for about onethird of the proposed total shipping-miles (e.g., roughly 36 percent for truck crews) for all secondary waste groups evaluated in this SA, that the preponderance of Group 1 and 2 wastes that will be expected to exhibit dose rates in the 0.5 mrem per hour range (at 1 meter) would resultantly bring the overall weighted dose-rate average for the entire collective cadre of shipments down to near the 1 mrem per hour (at 1 meter) mark, which is consistent with the WM PEIS's representative estimate.",Yes.,Yes,Yes,Yes,4
EIS01215,closed,Did the WM PEIS assume a dose rate higher than 1 mrem per hour at 1 meter for all LLW and MLLW packages?,"Proper packaging is a key element in transportation safety, and the selection of appropriate packaging typically is based on the level and form of radioactivity inherent to the materials that are being shipped. LLW and MLLW must be packaged to protect workers and the public (as well as the environment) during transport due to potential radiological exposures of truck crews and the public being directly dependent upon external dose rates associated with the waste packages.24 Solid and liquid secondary LLW and MLLW to be shipped offsite for treatment and stabilization are expected to have low levels of radioactivity. This is substantiated by the following considerations: (1) the WM PEIS (from which this SA's dose-rate estimates are scaled) conservatively assumed a generically representative dose rate of 1 mrem per hour at 1 meter for all LLW and MLLW packages; (2) recent historical (2-year) measured dose-rate data for LLW and MLLW packages shipped from the Hanford Site exhibited quantities that are comparable to, but smaller than (i.e., on the order of 0.5 mrem per hour at 1 meter) the WM PEIS's general estimate of 1 mrem per hour in the vast majority (i.e., greater than 97 percent) of cases (WRPS 2022b); and (3) MicroShield calculations performed for EMF-concentrate have shown that associated shipping containers (""supertainers"") for liquid MLLW would have an expected dose rate of approximately 0.63 mrem per hour at 2 meters and approximately 9 mrem per hour on contact (WRPS 2022c). Although such a case (0.63 mrem per hour at 2 meters and 9 mrem per hour on contact) would be expected to yield an equivalent dose rate of approximately 2.5 mrem per hour at 1 meter, this value would still result in conditionsfar below allowable USDOT 49 CFR Part 173 limitsfor radiological shipping packages. It is furthermore noteworthy to emphasize that since these Group 3 supertainer shipments would only account for about onethird of the proposed total shipping-miles (e.g., roughly 36 percent for truck crews) for all secondary waste groups evaluated in this SA, that the preponderance of Group 1 and 2 wastes that will be expected to exhibit dose rates in the 0.5 mrem per hour range (at 1 meter) would resultantly bring the overall weighted dose-rate average for the entire collective cadre of shipments down to near the 1 mrem per hour (at 1 meter) mark, which is consistent with the WM PEIS's representative estimate.",No,Yes,No,No,3
EIS01216,closed,Have recent measured dose rates for LLW and MLLW packages shipped from the Hanford Site been greater than the WM PEIS's estimate?,"Proper packaging is a key element in transportation safety, and the selection of appropriate packaging typically is based on the level and form of radioactivity inherent to the materials that are being shipped. LLW and MLLW must be packaged to protect workers and the public (as well as the environment) during transport due to potential radiological exposures of truck crews and the public being directly dependent upon external dose rates associated with the waste packages.24 Solid and liquid secondary LLW and MLLW to be shipped offsite for treatment and stabilization are expected to have low levels of radioactivity. This is substantiated by the following considerations: (1) the WM PEIS (from which this SA's dose-rate estimates are scaled) conservatively assumed a generically representative dose rate of 1 mrem per hour at 1 meter for all LLW and MLLW packages; (2) recent historical (2-year) measured dose-rate data for LLW and MLLW packages shipped from the Hanford Site exhibited quantities that are comparable to, but smaller than (i.e., on the order of 0.5 mrem per hour at 1 meter) the WM PEIS's general estimate of 1 mrem per hour in the vast majority (i.e., greater than 97 percent) of cases (WRPS 2022b); and (3) MicroShield calculations performed for EMF-concentrate have shown that associated shipping containers (""supertainers"") for liquid MLLW would have an expected dose rate of approximately 0.63 mrem per hour at 2 meters and approximately 9 mrem per hour on contact (WRPS 2022c). Although such a case (0.63 mrem per hour at 2 meters and 9 mrem per hour on contact) would be expected to yield an equivalent dose rate of approximately 2.5 mrem per hour at 1 meter, this value would still result in conditionsfar below allowable USDOT 49 CFR Part 173 limitsfor radiological shipping packages. It is furthermore noteworthy to emphasize that since these Group 3 supertainer shipments would only account for about onethird of the proposed total shipping-miles (e.g., roughly 36 percent for truck crews) for all secondary waste groups evaluated in this SA, that the preponderance of Group 1 and 2 wastes that will be expected to exhibit dose rates in the 0.5 mrem per hour range (at 1 meter) would resultantly bring the overall weighted dose-rate average for the entire collective cadre of shipments down to near the 1 mrem per hour (at 1 meter) mark, which is consistent with the WM PEIS's representative estimate.",No.,No,No,No,4
EIS01217,closed,Does the expected dose rate for EMF-concentrate supertainer shipments exceed the allowable USDOT 49 CFR Part 173 limits?,"Proper packaging is a key element in transportation safety, and the selection of appropriate packaging typically is based on the level and form of radioactivity inherent to the materials that are being shipped. LLW and MLLW must be packaged to protect workers and the public (as well as the environment) during transport due to potential radiological exposures of truck crews and the public being directly dependent upon external dose rates associated with the waste packages.24 Solid and liquid secondary LLW and MLLW to be shipped offsite for treatment and stabilization are expected to have low levels of radioactivity. This is substantiated by the following considerations: (1) the WM PEIS (from which this SA's dose-rate estimates are scaled) conservatively assumed a generically representative dose rate of 1 mrem per hour at 1 meter for all LLW and MLLW packages; (2) recent historical (2-year) measured dose-rate data for LLW and MLLW packages shipped from the Hanford Site exhibited quantities that are comparable to, but smaller than (i.e., on the order of 0.5 mrem per hour at 1 meter) the WM PEIS's general estimate of 1 mrem per hour in the vast majority (i.e., greater than 97 percent) of cases (WRPS 2022b); and (3) MicroShield calculations performed for EMF-concentrate have shown that associated shipping containers (""supertainers"") for liquid MLLW would have an expected dose rate of approximately 0.63 mrem per hour at 2 meters and approximately 9 mrem per hour on contact (WRPS 2022c). Although such a case (0.63 mrem per hour at 2 meters and 9 mrem per hour on contact) would be expected to yield an equivalent dose rate of approximately 2.5 mrem per hour at 1 meter, this value would still result in conditionsfar below allowable USDOT 49 CFR Part 173 limitsfor radiological shipping packages. It is furthermore noteworthy to emphasize that since these Group 3 supertainer shipments would only account for about onethird of the proposed total shipping-miles (e.g., roughly 36 percent for truck crews) for all secondary waste groups evaluated in this SA, that the preponderance of Group 1 and 2 wastes that will be expected to exhibit dose rates in the 0.5 mrem per hour range (at 1 meter) would resultantly bring the overall weighted dose-rate average for the entire collective cadre of shipments down to near the 1 mrem per hour (at 1 meter) mark, which is consistent with the WM PEIS's representative estimate.",No,No,No,No,4
EIS01218,closed,Would the overall weighted dose-rate average for all shipments exceed the representative estimate of 1 mrem per hour at 1 meter from the WM PEIS?,"Proper packaging is a key element in transportation safety, and the selection of appropriate packaging typically is based on the level and form of radioactivity inherent to the materials that are being shipped. LLW and MLLW must be packaged to protect workers and the public (as well as the environment) during transport due to potential radiological exposures of truck crews and the public being directly dependent upon external dose rates associated with the waste packages.24 Solid and liquid secondary LLW and MLLW to be shipped offsite for treatment and stabilization are expected to have low levels of radioactivity. This is substantiated by the following considerations: (1) the WM PEIS (from which this SA's dose-rate estimates are scaled) conservatively assumed a generically representative dose rate of 1 mrem per hour at 1 meter for all LLW and MLLW packages; (2) recent historical (2-year) measured dose-rate data for LLW and MLLW packages shipped from the Hanford Site exhibited quantities that are comparable to, but smaller than (i.e., on the order of 0.5 mrem per hour at 1 meter) the WM PEIS's general estimate of 1 mrem per hour in the vast majority (i.e., greater than 97 percent) of cases (WRPS 2022b); and (3) MicroShield calculations performed for EMF-concentrate have shown that associated shipping containers (""supertainers"") for liquid MLLW would have an expected dose rate of approximately 0.63 mrem per hour at 2 meters and approximately 9 mrem per hour on contact (WRPS 2022c). Although such a case (0.63 mrem per hour at 2 meters and 9 mrem per hour on contact) would be expected to yield an equivalent dose rate of approximately 2.5 mrem per hour at 1 meter, this value would still result in conditionsfar below allowable USDOT 49 CFR Part 173 limitsfor radiological shipping packages. It is furthermore noteworthy to emphasize that since these Group 3 supertainer shipments would only account for about onethird of the proposed total shipping-miles (e.g., roughly 36 percent for truck crews) for all secondary waste groups evaluated in this SA, that the preponderance of Group 1 and 2 wastes that will be expected to exhibit dose rates in the 0.5 mrem per hour range (at 1 meter) would resultantly bring the overall weighted dose-rate average for the entire collective cadre of shipments down to near the 1 mrem per hour (at 1 meter) mark, which is consistent with the WM PEIS's representative estimate.",No.,No,No,No,4
EIS01219,closed,Are solid and liquid secondary LLW and MLLW always required to be shipped offsite for treatment and stabilization?,"Proper packaging is a key element in transportation safety, and the selection of appropriate packaging typically is based on the level and form of radioactivity inherent to the materials that are being shipped. LLW and MLLW must be packaged to protect workers and the public (as well as the environment) during transport due to potential radiological exposures of truck crews and the public being directly dependent upon external dose rates associated with the waste packages.24 Solid and liquid secondary LLW and MLLW to be shipped offsite for treatment and stabilization are expected to have low levels of radioactivity. This is substantiated by the following considerations: (1) the WM PEIS (from which this SA's dose-rate estimates are scaled) conservatively assumed a generically representative dose rate of 1 mrem per hour at 1 meter for all LLW and MLLW packages; (2) recent historical (2-year) measured dose-rate data for LLW and MLLW packages shipped from the Hanford Site exhibited quantities that are comparable to, but smaller than (i.e., on the order of 0.5 mrem per hour at 1 meter) the WM PEIS's general estimate of 1 mrem per hour in the vast majority (i.e., greater than 97 percent) of cases (WRPS 2022b); and (3) MicroShield calculations performed for EMF-concentrate have shown that associated shipping containers (""supertainers"") for liquid MLLW would have an expected dose rate of approximately 0.63 mrem per hour at 2 meters and approximately 9 mrem per hour on contact (WRPS 2022c). Although such a case (0.63 mrem per hour at 2 meters and 9 mrem per hour on contact) would be expected to yield an equivalent dose rate of approximately 2.5 mrem per hour at 1 meter, this value would still result in conditionsfar below allowable USDOT 49 CFR Part 173 limitsfor radiological shipping packages. It is furthermore noteworthy to emphasize that since these Group 3 supertainer shipments would only account for about onethird of the proposed total shipping-miles (e.g., roughly 36 percent for truck crews) for all secondary waste groups evaluated in this SA, that the preponderance of Group 1 and 2 wastes that will be expected to exhibit dose rates in the 0.5 mrem per hour range (at 1 meter) would resultantly bring the overall weighted dose-rate average for the entire collective cadre of shipments down to near the 1 mrem per hour (at 1 meter) mark, which is consistent with the WM PEIS's representative estimate.",No,No,No,No,3
EIS01220,closed,Will Group 3 supertainer shipments represent more than half of the proposed total shipping-miles?,"Proper packaging is a key element in transportation safety, and the selection of appropriate packaging typically is based on the level and form of radioactivity inherent to the materials that are being shipped. LLW and MLLW must be packaged to protect workers and the public (as well as the environment) during transport due to potential radiological exposures of truck crews and the public being directly dependent upon external dose rates associated with the waste packages.24 Solid and liquid secondary LLW and MLLW to be shipped offsite for treatment and stabilization are expected to have low levels of radioactivity. This is substantiated by the following considerations: (1) the WM PEIS (from which this SA's dose-rate estimates are scaled) conservatively assumed a generically representative dose rate of 1 mrem per hour at 1 meter for all LLW and MLLW packages; (2) recent historical (2-year) measured dose-rate data for LLW and MLLW packages shipped from the Hanford Site exhibited quantities that are comparable to, but smaller than (i.e., on the order of 0.5 mrem per hour at 1 meter) the WM PEIS's general estimate of 1 mrem per hour in the vast majority (i.e., greater than 97 percent) of cases (WRPS 2022b); and (3) MicroShield calculations performed for EMF-concentrate have shown that associated shipping containers (""supertainers"") for liquid MLLW would have an expected dose rate of approximately 0.63 mrem per hour at 2 meters and approximately 9 mrem per hour on contact (WRPS 2022c). Although such a case (0.63 mrem per hour at 2 meters and 9 mrem per hour on contact) would be expected to yield an equivalent dose rate of approximately 2.5 mrem per hour at 1 meter, this value would still result in conditionsfar below allowable USDOT 49 CFR Part 173 limitsfor radiological shipping packages. It is furthermore noteworthy to emphasize that since these Group 3 supertainer shipments would only account for about onethird of the proposed total shipping-miles (e.g., roughly 36 percent for truck crews) for all secondary waste groups evaluated in this SA, that the preponderance of Group 1 and 2 wastes that will be expected to exhibit dose rates in the 0.5 mrem per hour range (at 1 meter) would resultantly bring the overall weighted dose-rate average for the entire collective cadre of shipments down to near the 1 mrem per hour (at 1 meter) mark, which is consistent with the WM PEIS's representative estimate.",No,No,No,No,4
EIS01221,closed,Is the data from WRPS 2022b representative of more than 97 percent of cases for LLW and MLLW package shipments?,"Proper packaging is a key element in transportation safety, and the selection of appropriate packaging typically is based on the level and form of radioactivity inherent to the materials that are being shipped. LLW and MLLW must be packaged to protect workers and the public (as well as the environment) during transport due to potential radiological exposures of truck crews and the public being directly dependent upon external dose rates associated with the waste packages.24 Solid and liquid secondary LLW and MLLW to be shipped offsite for treatment and stabilization are expected to have low levels of radioactivity. This is substantiated by the following considerations: (1) the WM PEIS (from which this SA's dose-rate estimates are scaled) conservatively assumed a generically representative dose rate of 1 mrem per hour at 1 meter for all LLW and MLLW packages; (2) recent historical (2-year) measured dose-rate data for LLW and MLLW packages shipped from the Hanford Site exhibited quantities that are comparable to, but smaller than (i.e., on the order of 0.5 mrem per hour at 1 meter) the WM PEIS's general estimate of 1 mrem per hour in the vast majority (i.e., greater than 97 percent) of cases (WRPS 2022b); and (3) MicroShield calculations performed for EMF-concentrate have shown that associated shipping containers (""supertainers"") for liquid MLLW would have an expected dose rate of approximately 0.63 mrem per hour at 2 meters and approximately 9 mrem per hour on contact (WRPS 2022c). Although such a case (0.63 mrem per hour at 2 meters and 9 mrem per hour on contact) would be expected to yield an equivalent dose rate of approximately 2.5 mrem per hour at 1 meter, this value would still result in conditionsfar below allowable USDOT 49 CFR Part 173 limitsfor radiological shipping packages. It is furthermore noteworthy to emphasize that since these Group 3 supertainer shipments would only account for about onethird of the proposed total shipping-miles (e.g., roughly 36 percent for truck crews) for all secondary waste groups evaluated in this SA, that the preponderance of Group 1 and 2 wastes that will be expected to exhibit dose rates in the 0.5 mrem per hour range (at 1 meter) would resultantly bring the overall weighted dose-rate average for the entire collective cadre of shipments down to near the 1 mrem per hour (at 1 meter) mark, which is consistent with the WM PEIS's representative estimate.",Yes,Yes,Yes,Yes,4
